,elephant,dolphin,panda,lion,kangaroo,penguin,giraffe,chimpanzee,koala,orangutan
189,-9.6953125,-8.15625,-5.9921875,-10.0625,-9.75,-8.0625,-5.71875,-12.0078125,-10.4296875,-9.2109375
190,-9.7265625,-7.8046875,-5.4375,-11.6171875,-9.0,-8.75,-3.810546875,-11.3046875,-10.9140625,-10.015625
191,-8.96875,-7.609375,-5.3046875,-9.234375,-8.234375,-7.8046875,-5.6171875,-10.3359375,-9.328125,-8.9140625
192,-10.65625,-7.21875,-4.9921875,-10.3515625,-8.421875,-9.0,-5.90625,-8.28125,-9.8515625,-7.9453125
193,-10.515625,-7.14453125,-5.88671875,-8.7890625,-8.3828125,-8.1328125,-6.11328125,-9.4375,-9.546875,-9.15625
194,-8.3984375,-6.3828125,-5.59375,-9.28125,-8.5703125,-8.015625,-4.328125,-9.8203125,-9.75,-9.0546875
195,-10.859375,-7.44921875,-5.65234375,-10.9765625,-10.109375,-8.1328125,-5.76171875,-10.5078125,-11.859375,-9.453125
196,-11.3046875,-6.0390625,-5.6640625,-9.1640625,-7.9609375,-7.125,-5.7421875,-8.4453125,-11.2109375,-9.25
197,-12.1328125,-7.58984375,-6.83984375,-10.09375,-9.96875,-8.765625,-5.90234375,-10.578125,-11.4453125,-9.1640625
198,-10.0703125,-6.4140625,-4.8125,-9.859375,-8.4140625,-8.25,-5.578125,-10.984375,-8.3046875,-8.828125
199,-11.375,-6.515625,-4.3359375,-10.8515625,-10.1640625,-7.3203125,-6.203125,-11.6796875,-11.1484375,-10.1640625
200,-10.296875,-6.18359375,-3.99609375,-11.5625,-6.73046875,-9.0625,-4.54296875,-10.1171875,-8.3515625,-10.4375
201,-10.7578125,-6.34765625,-5.25390625,-10.21875,-7.41015625,-8.6953125,-6.12109375,-10.234375,-7.51953125,-8.578125
202,-10.421875,-4.90625,-5.109375,-9.765625,-6.8359375,-8.125,-5.5546875,-9.53125,-6.7890625,-9.25
203,-11.234375,-7.2265625,-5.59375,-8.7109375,-8.3359375,-9.34375,-6.9140625,-9.8359375,-7.9296875,-9.0625
204,-9.265625,-6.6484375,-5.21875,-8.6875,-8.75,-9.890625,-5.3046875,-9.4765625,-8.4140625,-8.78125
